segment,segment_start,segment_end,asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_interactions,63,0.4761904761904761,0.4326923076923077,0.0151206138347868,0.0212719649268958,0.9047619047619048,0.0954963906970745,0.104382778998057,0.0477481953485372,6.315642456086871
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,rag_memory,63,0.5555555555555556,0.5128205128205128,0.0115972420491625,0.015390576820674,0.9206349206349206,0.0679671069010289,0.0646322079682893,0.0339835534505144,5.860626743229624
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,shock_rag,63,0.6031746031746031,0.5512820512820513,0.01203242103468,0.0156017126636393,0.9206349206349206,0.06884122883979,0.0682457618749527,0.034420614419895,5.721311500102493
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,case_model,63,0.5238095238095238,0.4791666666666666,0.0109185807697427,0.0152116231157715,0.9682539682539684,0.0736469915736205,0.0792932622553189,0.0368234957868102,6.745106633062495
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion,63,0.5396825396825397,0.4759615384615385,0.012867284213294,0.0180704862442094,0.9047619047619048,0.0825831863606444,0.0822314880337027,0.0412915931803222,6.418074318691304
2008_2015,2008-01-01,2015-12-31,SPY_ret,regression,fusion_case,63,0.5238095238095238,0.4551282051282051,0.0124662543012988,0.0171816144502415,0.9365079365079364,0.0802776955640078,0.0819742887339415,0.0401388477820039,6.439600350174425
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,baseline,22,0.4545454545454545,0.4545454545454545,0.0064530837265077,0.0081466266262071,0.9090909090909092,0.0252018698980968,0.0227957536791761,0.0126009349490484,3.905399490568123
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_main,22,0.5,0.5,0.0067041654452965,0.0082562381729592,0.9545454545454546,0.0249118159394112,0.0227957536791761,0.0124559079697056,3.7158712956418434
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_interactions,22,0.4090909090909091,0.409090909090909,0.0067869185653619,0.0083902105299149,0.9545454545454546,0.0249118159394112,0.0227957536791761,0.0124559079697056,3.6705635553890974
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,rag_memory,22,0.3636363636363636,0.3636363636363636,0.0066892797602152,0.0083423784222594,0.9090909090909092,0.0250099551289606,0.0227957536791761,0.0125049775644803,3.738811355702069
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,shock_rag,22,0.4090909090909091,0.409090909090909,0.0067354211166534,0.0083204206713694,0.9090909090909092,0.0250026538206463,0.0227957536791761,0.0125013269103231,3.712114415359524
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,case_model,22,0.4545454545454545,0.4545454545454545,0.0065647147317482,0.0080208870739659,0.8636363636363636,0.0239835703933116,0.0227957536791761,0.0119917851966558,3.653406335742582
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion,22,0.4090909090909091,0.409090909090909,0.0065900604138511,0.0081730861427786,0.9090909090909092,0.0250026538206463,0.0227957536791761,0.0125013269103231,3.793994629866389
2008_2015,2008-01-01,2015-12-31,UUP_ret,regression,fusion_case,22,0.5,0.5,0.0065208231466718,0.0077740634398548,0.9090909090909092,0.0247031559837085,0.0227957536791761,0.0123515779918542,3.7883493276944105
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,baseline,33,0.5151515151515151,0.4943609022556391,0.0090249729822061,0.0120142216083584,0.9696969696969696,0.0597497721068413,0.0546657208218282,0.0298748860534206,6.6204931831535765
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_main,33,0.4545454545454545,0.4323308270676692,0.0100930206023438,0.0130054620128458,0.9696969696969696,0.0602670591047372,0.0555737649779055,0.0301335295523686,5.971161803706363
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_interactions,33,0.5454545454545454,0.5394736842105263,0.0093150833357144,0.0117689842772983,1.0,0.0624667205572632,0.0607412306402448,0.0312333602786316,6.705975492217354
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,rag_memory,33,0.5757575757575758,0.5469924812030075,0.0084566446335648,0.0115266134419567,0.9696969696969696,0.0689352280967589,0.0674336419219594,0.0344676140483794,8.15160516774606
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,shock_rag,33,0.5151515151515151,0.4943609022556391,0.009168090911759,0.0120032864437693,0.9696969696969696,0.0667191239648213,0.0665341555486723,0.0333595619824106,7.277319194037118
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,case_model,33,0.4848484848484848,0.4398496240601504,0.0089927418262232,0.0113416430098225,1.0,0.0623013777171619,0.0623776724978382,0.0311506888585809,6.927962452506825
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion,33,0.5454545454545454,0.5394736842105263,0.0090418889593514,0.0114678840418967,0.9696969696969696,0.0614329876960646,0.0606127340016241,0.0307164938480323,6.794264779432871
2016_2019,2016-01-01,2019-12-31,GLD_ret,regression,fusion_case,33,0.5151515151515151,0.4849624060150376,0.0089170817648791,0.0112924960537322,0.9696969696969696,0.0555884651017904,0.0539468834659975,0.0277942325508952,6.233930176656177
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,baseline,33,0.3636363636363636,0.3731617647058823,0.0079953078144703,0.0110119892090767,0.9393939393939394,0.0583555012953108,0.0635951397273677,0.0291777506476554,7.298718529597542
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_main,33,0.4242424242424242,0.4356617647058823,0.0068532797323126,0.0099835173872334,0.9393939393939394,0.0564547733238959,0.0563017699147714,0.0282273866619479,8.237628628774113
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_interactions,33,0.3636363636363636,0.3713235294117647,0.0077135208193479,0.0106407773380448,0.9393939393939394,0.0558708979454883,0.0584810336903448,0.0279354489727441,7.243241997266237
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,rag_memory,33,0.5454545454545454,0.5496323529411764,0.0088530112610063,0.0124956675809717,0.9696969696969696,0.061288304185673,0.0640460027577368,0.0306441520928365,6.922876564680494
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,shock_rag,33,0.5454545454545454,0.5496323529411764,0.0089615702330821,0.0128562787280128,0.9393939393939394,0.0576308422782615,0.0587687127312429,0.0288154211391307,6.4308866392090245
2016_2019,2016-01-01,2019-12-31,QQQ_ret,regression,case_model,33,0.303030303030303,0.3014705882352941,0.0099510741809831,0.0143912820123779,0.9090909090909092,0.050042573981885,0.0557889219619771,0.0250212869909425,5.028861515022974
