asset_target,task,model,n_test,direction_accuracy,balanced_direction_accuracy,MAE,RMSE,interval_90pct_coverage,interval_90pct_avg_width,interval_90pct_median_width,interval_90pct_avg_half_width,interval_width_to_mae
QQQ_ret,regression,case_model,148,0.4189189189189189,0.3996265172735761,0.0134337723610163,0.020323200663934,0.8986486486486487,0.0716071430122966,0.0631578772004343,0.0358035715061483,5.3303823444332235
QQQ_ret,regression,fusion,148,0.6081081081081081,0.5704948646125116,0.013330893876686,0.0211619417440427,0.9121621621621622,0.0785145809938574,0.0598736480110943,0.0392572904969287,5.889671144346081
QQQ_ret,regression,fusion_case,148,0.5675675675675675,0.5146591970121381,0.0130483958454394,0.0204562035096876,0.9054054054054054,0.0765851078856754,0.05633652559815,0.0382925539428377,5.869312120266713
SPY_ret,regression,baseline,148,0.5472972972972973,0.5353479853479853,0.0110860740217954,0.0178707714066983,0.8918918918918919,0.0606862323578443,0.0571112698734407,0.0303431161789221,5.4740959007250165
SPY_ret,regression,shock_main,148,0.5135135135135135,0.504029304029304,0.0120915437243823,0.0190919596910218,0.8986486486486487,0.0691744046538132,0.0657114927340779,0.0345872023269066,5.720891081452617
SPY_ret,regression,shock_interactions,148,0.4729729729729729,0.4655677655677656,0.0126328034171566,0.0193729638013703,0.8918918918918919,0.0727375147690268,0.0579237782287548,0.0363687573845134,5.757828438162947
SPY_ret,regression,rag_memory,148,0.5472972972972973,0.5441391941391941,0.0105594913408062,0.0164285511163628,0.9054054054054054,0.0554149233557979,0.0497322542377883,0.0277074616778989,5.247878100117529
SPY_ret,regression,shock_rag,148,0.5945945945945946,0.5912087912087912,0.010445419015011,0.0158647855633987,0.9054054054054054,0.0555771374258313,0.0489251568843171,0.0277885687129156,5.320718809457206
SPY_ret,regression,case_model,148,0.4256756756756756,0.4199633699633699,0.0116331351065113,0.017757376920215,0.9121621621621622,0.0597687806607549,0.0504465275472083,0.0298843903303774,5.13780508122017
SPY_ret,regression,fusion,148,0.5540540540540541,0.5498168498168499,0.0110879943956191,0.0172450656366015,0.9054054054054054,0.0634699681380699,0.0489818424217305,0.0317349840690349,5.724206368930604
SPY_ret,regression,fusion_case,148,0.5337837837837838,0.5269230769230769,0.0108967608976751,0.0167566454338263,0.918918918918919,0.0621294134226513,0.0491075225000622,0.0310647067113256,5.701640515568869
UUP_ret,regression,baseline,107,0.4953271028037383,0.477191732002851,0.005301313959853,0.007012260393132,0.9439252336448598,0.0261444493757476,0.0240911918978829,0.0130722246878738,4.9316923264194505
UUP_ret,regression,shock_main,107,0.4859813084112149,0.4636493228795438,0.0055066412504613,0.007114474829267,0.9439252336448598,0.0257734628950074,0.0232872913037181,0.0128867314475037,4.680432540043897
UUP_ret,regression,shock_interactions,107,0.514018691588785,0.5016037063435496,0.0055271475167744,0.0071173661069568,0.9532710280373832,0.0246031476623378,0.0231615269603834,0.0123015738311689,4.451328210016005
UUP_ret,regression,rag_memory,107,0.4859813084112149,0.4556307911617961,0.0053645023108001,0.0069614966089024,0.9345794392523364,0.0259529849591987,0.0244749755656622,0.0129764924795993,4.837911041057534
UUP_ret,regression,shock_rag,107,0.4953271028037383,0.4691732002851033,0.0054563912090717,0.0071760865822072,0.9439252336448598,0.0264277021915027,0.0246957011392733,0.0132138510957513,4.843439771613904
UUP_ret,regression,case_model,107,0.514018691588785,0.48823948681397,0.0055622920099354,0.0071346929982869,0.9345794392523364,0.0256542193717889,0.0239841120785313,0.0128271096858944,4.612166949517379
