target,model_family,task,n_train,n_validation,MAE,RMSE,params
SPY_ret,hgbdt,regression,44,30,0.010742186235944393,0.01378383802421748,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009722580378404616,0.012885782952326235,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010096774751915236,0.013341569727673662,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010200253758332388,0.013464268719262635,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009702693917102007,0.012883312969950322,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010115895144145596,0.013356816178298727,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010481412348435285,0.01362242995777761,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009725816975192696,0.012837940065713212,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010208639754133149,0.013411402582624214,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.011019298908894248,0.014158851815440274,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009731552604484238,0.012844630630438642,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010208693395854758,0.013411100398756913,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010033877986324668,0.013366734606365917,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009695132673567575,0.012826154379574108,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010171292647821422,0.013386701648128822,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 40, ""model__max_leaf_nodes"": 16, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010128658847944758,0.013268051288942893,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.00976478552780981,0.01284348262454844,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010148535851683124,0.013372949455346731,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010209673908244279,0.013311582456406347,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009759549320301078,0.012835980054258584,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010145251869082349,0.013370455040981588,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010394923335938833,0.013518804442560196,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009717123703571313,0.012812236516029814,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010121508779953154,0.013352655462206603,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.011505482854319944,0.014042255200082598,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009701353315767136,0.012894922068195293,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010170921022162282,0.013332555673106514,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.011483976871498233,0.014165183552772942,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.00971563054094313,0.0129608847286523,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010094234998353784,0.013276129054934756,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010803269575470857,0.01363197841166085,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.009583442485437596,0.012941106402580968,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.01015702396910844,0.013339123512837614,"{""model__l2_regularization"": 1.0, ""model__learning_rate"": 0.06, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 4, ""model__min_samples_leaf"": 20}"
SPY_ret,hgbdt,regression,44,30,0.010849587245427233,0.013935212829790851,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 5}"
SPY_ret,hgbdt,regression,44,30,0.00976478552780981,0.01284348262454844,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 10}"
SPY_ret,hgbdt,regression,44,30,0.010148535851683124,0.013372949455346731,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 60, ""model__max_leaf_nodes"": 8, ""model__min_samples_leaf"": 20}"
